,Unnamed: 0,word,sentiment,lexicon,score,part
417,418,cognitive,positive,nrc,,NN
418,419,coherence,positive,nrc,,NN
419,420,coherent,positive,nrc,,NN
420,421,cohesive,positive,nrc,,NN
421,422,collectively,positive,nrc,,RB
422,423,colonel,positive,nrc,,NN
423,424,colossal,positive,nrc,,NN
424,425,comfort,positive,nrc,,NN
425,426,commandant,positive,nrc,,NN
426,427,commanding,positive,nrc,,VBG
427,428,commemorate,positive,nrc,,NN
428,429,commemoration,positive,nrc,,NN
429,430,commemorative,positive,nrc,,NN
430,431,commend,positive,nrc,,NN
431,432,commendable,positive,nrc,,JJ
432,433,commentator,positive,nrc,,NN
433,434,committed,positive,nrc,,VBN
434,435,commodore,positive,nrc,,NN
435,436,commonwealth,positive,nrc,,NN
436,437,communicate,positive,nrc,,NN
437,438,communicative,positive,nrc,,NN
438,439,communion,positive,nrc,,NN
439,440,community,positive,nrc,,NN
440,441,commutation,positive,nrc,,NN
441,442,commute,positive,nrc,,NN
442,443,companion,positive,nrc,,NN
443,444,compassion,positive,nrc,,NN
444,445,compassionate,positive,nrc,,NN
445,446,compatibility,positive,nrc,,NN
446,447,compatible,positive,nrc,,JJ
447,448,compelling,positive,nrc,,NN
448,449,compensate,positive,nrc,,NN
449,450,compensatory,positive,nrc,,NN
450,451,competence,positive,nrc,,NN
451,452,competency,positive,nrc,,NN
452,453,competent,positive,nrc,,NN
453,454,complacency,positive,nrc,,NN
454,455,complement,positive,nrc,,NN
455,456,complementary,positive,nrc,,NN
456,457,completely,positive,nrc,,RB
457,458,completeness,positive,nrc,,NN
458,459,completing,positive,nrc,,VBG
459,460,completion,positive,nrc,,NN
460,461,compliance,positive,nrc,,NN
461,462,compliant,positive,nrc,,NN
462,463,complicity,positive,nrc,,NN
463,464,compliment,positive,nrc,,NN
464,465,composed,positive,nrc,,VBN
465,466,composer,positive,nrc,,NN
466,467,composure,positive,nrc,,NN
467,468,comprehend,positive,nrc,,NN
468,469,comprehensive,positive,nrc,,NN
469,470,comrade,positive,nrc,,NN
470,471,concentric,positive,nrc,,NN
471,472,conciliation,positive,nrc,,NN
472,473,concluding,positive,nrc,,VBG
473,474,concord,positive,nrc,,NN
474,475,concordance,positive,nrc,,NN
475,476,condolence,positive,nrc,,NN
476,477,condone,positive,nrc,,NN
477,478,conducive,positive,nrc,,NN
478,479,conductivity,positive,nrc,,NN
479,480,confederate,positive,nrc,,NN
480,481,confess,positive,nrc,,NN
481,482,confidence,positive,nrc,,NN
482,483,confident,positive,nrc,,NN
483,484,confirmed,positive,nrc,,VBN
484,485,conformance,positive,nrc,,NN
